온도,반응시간,Scale,이론 고형분(%),monomer_BA,monomer_2-EHA,monomer_CHMA,monomer_AA,monomer_MMA,monomer_IBOMA,monomer_2-HEMA,monomer_HDDA,monomer_GMA,monomer_LMA,monomer_EMA,monomer_BMA,monomer_EA,monomer_IBOA,monomer_MA,monomer_2-HEA,monomer_b-CEA,monomer_4-HBA,monomer_IBXA,monomer_NOAA,monomer_MEDOL-10,monomer_AOMA,monomer_DPPA,monomer_POEA,monomer_MAA,monomer_AN,monomer_St,monomer_LA,monomer_2-PEA,monomer_DCPA,monomer_EDMA,monomer_HPA,chem_avg_tg,chem_avg_mw,chem_avg_polarity,수율(%),점도(cP),Tg,입도(nm)
83.0,,547.98,0.47,39.35,39.35,20.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.534,157.531855,0.130075,0.55,40.0,-40.04,
83.0,,524.27,0.48,89.7,0.0,0.0,1.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.54000000000002,124.91606999999999,0.17325000000000002,0.82,100.0,-41.92,
83.0,,333.29,0.46,38.35,38.35,0.0,1.3,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.074,167.82815499999998,0.140575,0.48,50.0,-41.7,
83.0,,334.77,0.46,38.35,38.35,0.0,1.3,0.0,20.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.17394014962593,167.65900748129678,0.14072319201995015,0.59,50.0,,
83.0,,333.23,0.46,39.35,39.35,20.0,1.3,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.66271820448878,157.38838403990025,0.1302493765586035,0.54,50.0,,
83.0,,331.17,0.46,39.35,39.35,20.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.534,157.531855,0.130075,0.34,50.0,-40.04,
83.0,,314.65,0.48,89.7,0.0,0.0,1.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.54000000000002,124.91606999999999,0.17325000000000002,0.61,25.0,-41.92,
83.0,,335.98,0.46,65.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.75,134.7745,0.21250000000000002,0.65,1100.0,-21.76,
83.0,,337.38,0.45,70.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.75,134.07549999999998,0.195,0.65,1400.0,-25.92,
83.0,,332.33,0.46,72.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.55,135.19769999999997,0.18,0.68,100.0,-29.7,
