첨부파일	Lab 일련번호	분류	도포 날짜	원단	점착제	경화제	첨가제	도포량	작업자	점착력	가열압착	내열성	내후성	내습성	야외폭로	가공/유지력	절곡	레이저컷팅	내충격성	비고
	1567	장기물성개선용(910E/HDDA적용검토)1566+CX100/1%+SV02/0.7%	2025-4-16 0:00:00	(T45)	S250415G	(CX100/1%)(SV02/0.7%)	(SA3/0.2%)	(2.7)(#3)	노항우	(51,55)*(초/90/BA)	(73>205)*(가/90/BA)					0	0	0	0	
	1566	장기물성개선용(910E/HDDA적용검토)910+HDDA 0.25%	2025-4-16 0:00:00	(T45)	S250415G	(CX100/2%)(SV02/1.5%)	(SA3/0.2%)	(2.7)(#3)	노항우	(32,37)*(초/90/BA)	(38,50>158,175)*(가/90/BA)		(7일양호)*(BA)			0	0	0	0	
	1565	장기물성개선용(910E/HDDA적용검토)910 Lab 합성	2025-4-16 0:00:00	(T45)	S250415F	(CX100/2%)(SV02/1.5%)	(SA3/0.2%)	(2.7)(#3)	노항우	(37,33,45,48,49,59)*(초/90/BA)	(48,58,56>194,190,163)*(가/90/BA)		(7일양호)*(BA)			0	0	0	0	
25-04-16_1562-1564_가공성(1h,8mm,2B)_0d.pdf;25-04-16_1562-1564_야외폭로(BA)_56일 탈리.pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_0min..pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_10min..pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_1hr.pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_20min..pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_3hr.pdf	1564	원자재 검수건(SV02원재료변경건)1562+SV02_SampleC	2025-4-15 0:00:00	(T45)	910	(CX100/2%)(SV02_C/1.5%)	(SA3/0.2%)	(2.7)(#3)	노항우,박다영	(50,49,42,60/90,100)*(초/90/BA/항0,2주)	(56/>138/150)*(가/90/BA/항0,2주)	(양호/양호)*(80도3시간,60도하루/BA)	(7일양호)*(BA)	(14일양호)*(BA)	(56일탈리)*(BA)	1	0	0	0	
25-04-16_1562-1564_가공성(1h,8mm,2B)_0d.pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_0min..pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_10min..pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_1hr.pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_20min..pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_3hr.pdf	1563	원자재 검수건(SV02원재료변경건)1562+SV02_SampleB	2025-4-15 0:00:00	(T45)	910	(CX100/2%)(SV02_B/1.5%)	(SA3/0.2%)	(2.7)(#3)	노항우,박다영	(55,51,37,43/95,100)*(초/90/BA/항0,2주)	(53/>125/154)*(가/90/BA/항0,2주)	(양호/양호)*(80도3시간,60도하루/BA)	(7일양호)*(BA)	(14일양호)*(BA)	(56일탈리)*(BA)	1	0	0	0	
25-04-16_1562-1564_가공성(1h,8mm,2B)_0d.pdf;25-04-16_1562-1564_야외폭로(BA)_56일 탈리.pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_0min..pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_10min..pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_1hr.pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_20min..pdf;25-04-16_1562-1564_유지력(10cm to 10.5cm)_3hr.pdf	1562	원자재 검수건(SV02원재료변경건)910E+SV02_SampleA[기존]	2025-4-15 0:00:00	(T45)	910	(CX100/2%)(SV02/1.5%)	(SA3/0.2%)	(2.7)(#3)	노항우,박다영	(53,45,33,36/87,75)*(초/90/BA/항0,2주)	(49/>130/144)*(가/90/BA/항0,2주)	(양호/양호)*(80도3시간,60도하루/BA)	(7일양호)*(BA)	(14일양호)*(BA)	(56일탈리)*(BA)	1	0	0	0	
25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_0min..pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_10min..pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_1d.pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_1hr.pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_20min..pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_2hr.pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_6hr.pdf	1561	건축내외장재용(태국알루미늄프로파일용)1558+SV02/0.5%	2025-4-14 0:00:00	(BW48)	917	(CX100/0.7%)(SV02/0.5%)		(2.7)(#8)	박다영	(305,307)*(초/90/BA)						1	0	0	0	
25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_0min..pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_10min..pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_1d.pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_1hr.pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_20min..pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_2hr.pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_6hr.pdf;25-04-16_1558,1560_내열(60도,유광알루미늄프로파일)_탈리.pdf;25-04-16_초이스프로텍,1558,1560_가열압착(60도1일,BA)_탈리.pdf;25-04-16_초이스프로텍,1558,1560_내열(60도)_탈리.pdf	1560	건축내외장재용(태국알루미늄프로파일용)1558+SV02/0.2%	2025-4-14 0:00:00	(BW48)	917	(CX100/0.7%)(SV02/0.2%)		(2.7)(#8)	박다영	(297,288)*(초/90/BA)	(>535_탈리)*(가/90/BA)	(탈리/탈리)*(60도하루/BA,AL프로파일)				1	0	0	0	
25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_0min..pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_10min..pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_1d.pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_1hr.pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_20min..pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_2hr.pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_6hr.pdf	1559	건축내외장재용(태국알루미늄프로파일용)1312+BW48	2025-4-14 0:00:00	(BW48)	917	(CX100/1%)		(2.7)(#8)	박다영	(246,251)*(초/90/BA)						1	0	0	0	
25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_0min..pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_10min..pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_1d.pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_1hr.pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_20min..pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_2hr.pdf;25-04-15_초이스프로텍,1558-1561_유지력(10cm to 10.5cm)_6hr.pdf;25-04-16_1558,1560_내열(60도,유광알루미늄프로파일)_탈리.pdf;25-04-16_초이스프로텍,1558,1560_가열압착(60도1일,BA)_탈리.pdf;25-04-16_초이스프로텍,1558,1560_내열(60도)_탈리.pdf	1558	건축내외장재용(태국알루미늄프로파일용)1311+BW48	2025-4-14 0:00:00	(BW48)	917	(CX100/0.7%)		(2.7)(#8)	박다영	(314,302)*(초/90/BA)	(>530_탈리)*(가/90/BA)	(탈리/탈리)*(60도하루/BA,AL프로파일)				1	0	0	0	
